,source,target,value
710,Draco,McGonagall,6
711,Malfoy,McGonagall,7
712,Malfoy,Snape,27
713,George,Lee,22
714,Fred,Lee,10
715,Neville,Snape,11
716,Ron,Snape,112
717,Mad-Eye,Snape,10
718,Mad-Eye,two,12
719,Snape,two,7
720,Dark,Lupin,4
721,Dark,Ron,8
722,Dark,Ministry,4
723,Dark,Dumbledore,11
724,Parvati,Ron,39
725,Longbottom,Neville,12
726,Harry,Longbottom,13
727,Harry,Lily,4
728,Lupin,Neville,4
729,Lupin,Ron,2
730,Mad-Eye,Ron,1
731,Hermione,Sirius,22
732,Dean,three,5
733,Neville,three,4
734,Lavender,three,3
735,Lavender,Neville,4
736,McGonagall,Seamus,2
737,Dean,McGonagall,3
738,Dean,Granger,3
739,Granger,Harry,26
740,Snape,three,16
741,Draco,Hagrid,15
742,Ernie,Snape,3
743,Cedric,Ernie,5
744,Diggory,Ernie,3
745,Longbottom,McGonagall,5
746,McGonagall,one,12
747,Slytherin,one,1
748,Neville,Slytherin,8
749,Hermione,Slytherin,5
750,Hogwarts,three,2
751,Fred,Hedwig,1
752,McGonagall,Parvati,8
753,Dennis,Ron,11
754,Slytherin,three,1
755,Slytherin,second,3
756,Dennis,Neville,2
757,second,two,16
758,Hagrid,one,30
759,Dumbledore,one,26
760,Parvati,Seamus,5
761,Harry,Parvati,121
762,Dumbledore,Viktor,24
763,Hogwarts,Lee,2
764,Krum,Lee,5
765,Slytherin,Viktor,11
766,Goyle,Slytherin,15
767,Krum,Malfoy,8
768,Dumbledore,two,28
769,Dumbledore,Hogwarts,27
770,Ron,twenty,5
771,Hagrid,twenty,2
772,Bagman,Dumbledore,42
773,Crouch,Dumbledore,126
774,Dennis,Dumbledore,4
775,Bagman,three,6
776,Krum,Slytherin,3
777,Dumbledore,Krum,31
778,Poliakoff,one,5
779,Hermione,Poliakoff,4
780,Lee,three,6
781,Lee,one,9
782,Dumbledore,Lee,9
783,Lee,two,7
784,Dumbledore,Summers,3
785,Hermione,Summers,1
786,Lee,Summers,3
787,Seamus,Warrington,3
788,Dean,Warrington,5
789,Dean,Slytherin,3
790,Diggory,Slytherin,4
791,Diggory,Seamus,3
792,Seamus,Slytherin,1
793,Angelina,Harry,19
794,Angelina,Ron,13
795,Angelina,Seamus,5
796,Angelina,Angelina,1
797,Fang,Harry,9
798,Hagrid,two,25
799,Bill,Hagrid,1
800,Dumbledore,Ludo,10
801,Lee,second,11
802,Dumbledore,Slytherin,8
803,Viktor,second,8
804,Fleur,second,11
805,Dumbledore,second,18
806,Dumbledore,Fleur,12
807,Fleur,Ron,35
808,Fleur,Harry,227
809,Fleur,Hogwarts,5
810,Cedric,Dumbledore,58
811,Cedric,three,11
812,Ludo,McGonagall,12
813,Fleur,Viktor,22
814,Cedric,Viktor,29
815,Cedric,Fleur,54
816,Cedric,two,23
817,Fleur,two,23
818,Ludo,three,10
819,Viktor,three,3
820,Bagman,Fleur,32
821,Bagman,Krum,36
822,Fleur,Krum,33
823,Cedric,Krum,44
824,Bagman,Cedric,47
825,Crouch,Snape,61
826,Crouch,McGonagall,6
827,Fleur,McGonagall,5
828,Dumbledore,Snape,153
829,Severus,Snape,27
830,Dumbledore,Severus,35
831,Crouch,second,6
832,Albus,Crouch,13
833,Barty,Dumbledore,8
834,Dumbledore,Weatherby,8
835,Crouch,Fleur,1
836,Harry,Violet,17
837,Harry,Katie,5
838,Angelina,Diggory,5
839,Diggory,Katie,3
840,Katie,one,1
841,Ron,Violet,3
842,Creevey,Harry,15
843,Cedric,Hedwig,1
844,Buckbeak,Cedric,2
845,Hedwig,one,4
846,Cedric,one,44
847,Ernie,one,5
848,Ernie,Ron,1
849,Goyle,Hagrid,8
850,Sirius,one,8
851,Neville,Sirius,4
852,Cedric,Sirius,5
853,Hermione,Snape,23
854,Snape,one,32
855,Harry,Pansy,45
856,Pansy,Slytherin,8
857,Ron,Slytherin,12
858,Dean,Ron,21
859,Goyle,Snape,12
860,Goyle,Goyle,3
861,Pansy,Ron,5
862,Slytherin,Snape,7
863,Pansy,Snape,6
864,Snape,Weasley,5
865,Colin,Snape,19
866,Bagman,Colin,5
867,Bagman,Snape,1
