,source,target,value
375,Hedwig,Hermione,5
376,Arnold,Ginny,10
377,Arnold,Fleur,3
378,Ginny,Hedwig,1
379,Arnold,Hedwig,1
380,Arnold,Ron,3
381,Muggle,two,7
382,Borgin,Weasley,2
383,Borgin,Dark,4
384,Dark,Malfoy,7
385,Lucius,Weasley,5
386,Dark,Weasley,2
387,Hermione,Neville,9
388,Luna,Neville,38
389,Luna,Luna,13
390,Harry,Luna,165
391,Luna,three,5
392,Neville,three,6
393,Harry,Trevor,4
394,Trevor,one,5
395,Luna,one,7
396,Luna,Umbridge,2
397,Neville,Umbridge,1
398,Neville,Trevor,6
399,Luna,Trevor,4
400,Neville,O.W.L.,3
401,Neville,Neville,16
402,Neville,one,9
403,Lily,Neville,6
404,Harry,Lily,11
405,Neville,Ron,34
406,Malfoy,Neville,15
407,Neville,two,4
408,Cho,Harry,20
409,Cho,Marietta,1
410,Harry,Marietta,12
411,Marietta,Slughorn,1
412,Longbottom,Slughorn,7
413,Longbottom,Neville,8
414,Harry,Longbottom,19
415,Neville,Slughorn,23
416,Ginny,Neville,39
417,Slughorn,Slytherin,6
418,Ginny,Slughorn,49
419,Cormac,Slytherin,5
420,Cormac,Harry,30
421,Cormac,Neville,1
422,Marcus,Neville,7
423,Belby,Marcus,13
424,Harry,Marcus,6
425,Belby,Neville,2
426,Belby,Ginny,3
427,Belby,Harry,8
428,Belby,Slughorn,32
429,Belby,Belby,3
430,Cormac,Uncle,2
431,Cormac,Slughorn,4
432,Bertie,two,3
433,Bertie,Rufus,12
434,Rufus,Slughorn,5
435,Belby,Rufus,1
436,Rufus,two,1
437,Bertie,Slughorn,1
438,Bellatrix,Neville,9
439,Harry,The,10
440,Belby,The,1
441,James,Slughorn,6
442,Harry,James,18
443,Gwenog,Neville,2
444,Gwenog,Gwenog,2
445,Harry,Zacharias,26
446,Ginny,Zacharias,17
447,Goyle,Harry,38
448,Malfoy,Vincent,5
449,Malfoy,two,16
450,Goyle,Vincent,4
451,Harry,Pansy,31
452,Malfoy,Pansy,49
453,Goyle,Malfoy,40
454,Crabbe,Harry,16
455,Crabbe,Malfoy,16
456,Malfoy,Slughorn,70
457,Vincent,two,1
458,Pansy,two,1
459,Goyle,Slughorn,5
460,Crabbe,Slughorn,2
461,Belby,Malfoy,4
462,Belby,Pansy,3
463,Longbottom,Pansy,3
464,Belby,Longbottom,1
465,Longbottom,Longbottom,3
466,Pansy,Weasley,3
467,Pansy,Pansy,3
468,Pansy,Slughorn,3
469,Nott,Slughorn,12
470,Goyle,Hermione,8
471,Goyle,Pansy,6
472,Hogwarts,Pansy,2
473,Hogwarts,Malfoy,12
474,Goyle,Ron,7
475,Nymphadora,Severus,1
476,Nymphadora,Snape,4
477,Hagrid,Nymphadora,4
478,Hagrid,Snape,40
479,Snape,one,29
480,Sirius,Snape,14
481,Sirius,Sirius,2
482,Snape,twenty,7
483,Muggle,twenty,6
484,Harry,twenty,7
485,Dean,Seamus,53
486,Dean,Neville,17
487,Harry,Seamus,43
488,Malfoy,Seamus,1
489,Ron,Sorting,8
490,Harry,Sorting,1
491,Ron,Snape,110
492,Hagrid,McGonagall,46
493,Hagrid,Hagrid,44
494,Draco,Slytherin,7
495,Slughorn,Snape,78
496,Dumbledore,Slytherin,15
497,Slytherin,Snape,20
498,Dumbledore,Malfoy,139
499,Hermione,one,26
500,Lavender,one,9
501,Lavender,Ron,111
502,McGonagall,McGonagall,10
503,McGonagall,O.W.L.,12
504,McGonagall,Neville,38
505,Longbottom,McGonagall,3
506,Augusta,McGonagall,7
507,Augusta,Neville,4
508,Neville,Parvati,1
509,Firenze,Parvati,6
510,McGonagall,Parvati,11
511,Firenze,McGonagall,4
512,Firenze,Harry,24
513,O.W.L.,Snape,10
514,O.W.L.,Slughorn,5
515,McGonagall,Ron,38
516,Parvati,one,2
517,Parvati,Snape,6
518,Granger,Snape,1
519,Granger,Hermione,14
520,Hermione,second,5
521,Malfoy,Snape,171
