,source,target,value
350,Pansy,Snape,5
351,Ron,Snape,114
352,Malfoy,Snape,41
353,Snape,Weasley,17
354,Neville,Weasley,5
355,Neville,Snape,72
356,Snape,Snape,41
357,Longbottom,Snape,11
358,Longbottom,Neville,18
359,Malfoy,Seamus,5
360,Muggle,Seamus,2
361,Goyle,Longbottom,4
362,Neville,Trevor,4
363,Trevor,Trevor,5
364,Snape,Trevor,9
365,Granger,Trevor,1
366,Granger,Snape,6
367,Granger,Hermione,4
368,Goyle,Ron,18
369,Harry,Peeves,10
370,Lupin,Peeves,16
371,Peeves,Peeves,6
372,Dean,Peeves,5
373,Dean,Lupin,23
374,Snape,one,15
375,Lupin,Seamus,17
376,Neville,two,2
377,Snape,three,5
378,Lupin,Parvati,9
379,Parvati,Parvati,2
380,Parvati,Snape,10
381,Parvati,Seamus,12
382,Dean,Ron,12
383,Lavender,Ron,15
384,Lavender,Lupin,1
385,one,three,16
386,two,two,3
387,Oliver,two,10
388,Wood,three,8
389,Alicia,Harry,12
390,Alicia,Angelina,13
391,Angelina,Katie,18
392,Alicia,Katie,19
393,Katie,two,4
394,Angelina,two,5
395,George,Oliver,10
396,Katie,Oliver,1
397,Harry,Oliver,39
398,Fred,Oliver,19
399,Angelina,Fred,1
400,Angelina,Oliver,10
401,Angelina,Harry,19
402,Angelina,three,1
403,Fred,Zonko,4
404,Harry,Zonko,19
405,Crookshanks,Hermione,8
406,Crookshanks,George,4
407,George,twenty,4
408,Crookshanks,twenty,1
409,Hermione,twenty,2
410,Lavender,McGonagall,4
411,Lavender,Seamus,11
412,Binky,Parvati,4
413,Binky,Lavender,8
414,Binky,Harry,1
415,Hermione,Lavender,6
416,Binky,Hermione,5
417,Longbottom,McGonagall,3
418,Dumbledore,McGonagall,32
419,Dumbledore,Percy,29
420,Colin,Harry,18
421,Dumbledore,Lupin,39
422,Severus,Snape,16
423,Harry,Severus,27
424,Hogwarts,Lupin,8
425,Dumbledore,Ginny,6
426,Dumbledore,Snape,74
427,Dumbledore,Peeves,24
428,McGonagall,Peeves,2
429,Peeves,one,7
430,Peeves,Sirius,1
431,Dumbledore,Slytherin,10
432,Percy,Slytherin,1
433,Dean,Hogwarts,5
434,Percy,Snape,11
435,Percy,Severus,4
436,Dumbledore,Severus,19
437,Hannah,Ron,4
438,Hannah,Seamus,2
439,Percy,Seamus,4
440,McGonagall,Percy,7
441,McGonagall,two,3
442,Oliver,Slytherin,7
443,Flint,Slytherin,17
444,Flint,Flint,3
445,Flint,Wood,20
446,Malfoy,Wood,6
447,Cedric,Slytherin,5
448,Alicia,Cedric,6
449,Katie,Wood,4
450,Angelina,Wood,4
451,Harry,Katie,36
452,Diggory,Harry,31
453,Diggory,Slytherin,1
454,Malfoy,Oliver,1
455,Diggory,Oliver,1
456,Dean,Snape,2
457,Dumbledore,Parvati,4
458,Dumbledore,Granger,6
459,Dumbledore,second,3
460,Granger,second,4
461,Granger,Ron,3
462,Snape,two,20
463,Cedric,Harry,17
464,Cedric,Diggory,5
465,Diggory,Diggory,2
466,Harry,Wood,66
467,Oliver,Wood,5
468,Alicia,Oliver,6
469,Alicia,Goyle,1
470,Goyle,Wood,1
471,Alicia,Fred,12
472,Diggory,George,2
473,Ginny,Wood,5
474,Ron,Wood,2
475,Davey,Lupin,3
476,Davey,Harry,3
477,Fred,one,22
478,George,one,7
479,Dangerous,one,5
480,Dangerous,Harry,6
481,Dumbledore,Norris,5
482,Norris,second,5
483,Fred,second,2
484,Harry,Norris,8
485,Norris,Weasley,1
486,George,McGonagall,1
487,Cornelius,Hagrid,5
488,Cornelius,Ron,8
489,Fudge,Hagrid,18
490,Fudge,Madam,12
491,Dumbledore,Fudge,44
492,Fudge,McGonagall,3
493,McGonagall,Sirius,4
494,James,Sirius,5
495,Fudge,James,5
496,James,Madam,2
497,Lily,Madam,2
498,James,McGonagall,11
499,Dumbledore,James,8
500,Lily,McGonagall,4
501,Hagrid,Lily,1
502,Hagrid,James,3
503,Fudge,Peter,7
504,Black,Peter,7
505,Black,Madam,4
506,McGonagall,Minerva,8
507,Fudge,Minerva,5
508,Fudge,twenty,3
509,Cornelius,McGonagall,6
510,Hagrid,Weasley,6
511,Cornelius,Weasley,6
512,Hagrid,Percy,10
513,Peter,Ron,28
514,Harry,Peter,61
