,source,target,value
363,Kingsley,second,10
364,second,second,5
365,Sirius,one,29
366,Kingsley,one,3
367,Black,Muggle,4
368,Black,Harry,18
369,Kingsley,Muggle,1
370,Muggle,two,10
371,Harry,Perkins,13
372,Kingsley,Perkins,1
373,Perkins,Weasley,2
374,Merlin,Weasley,6
375,Harry,Merlin,3
376,Snape,two,29
377,Snape,Weasley,19
378,Amelia,Fudge,4
379,Amelia,Susan,6
380,Albus,Susan,4
381,Amelia,Percy,3
382,Harry,Susan,12
383,Dumbledore,two,51
384,Fudge,two,29
385,Fudge,Fudge,24
386,Fudge,second,14
387,Bones,Fudge,1
388,Amelia,Bones,5
389,Dudley,Fudge,11
390,Figg,second,12
391,Figg,Fudge,35
392,Figg,Figg,5
393,Harry,Madam,22
394,Figg,Madam,4
395,Figg,Weasley,3
396,Bagman,Fudge,5
397,Bagman,Dumbledore,5
398,Bagman,Muggle,1
399,Cornelius,Dumbledore,33
400,Cornelius,Fudge,29
401,Ministry,two,5
402,Arthur,two,5
403,Cornelius,Weasley,12
404,Muggle,one,5
405,Cornelius,one,1
406,Cornelius,second,4
407,Harry,Lucius,61
408,Cornelius,Lucius,6
409,Fudge,Malfoy,16
410,Harry,Malfoy,419
411,Malfoy,Malfoy,45
412,Malfoy,Weasley,33
413,Lucius,Weasley,15
414,Arthur,Arthur,11
415,Lucius,Malfoy,12
416,Arthur,Malfoy,1
417,Malfoy,second,13
418,Dumbledore,Malfoy,13
419,Dumbledore,Eric,2
420,Ginny,three,12
421,Fudge,three,3
422,Fudge,Tonks,1
423,Kingsley,Tonks,7
424,Kreacher,Malfoy,5
425,Malfoy,Ron,79
426,Hogwarts,one,8
427,Hagrid,Kreacher,4
428,Hagrid,Ron,210
429,Fred,Hogwarts,4
430,Ginny,two,15
431,Charlie,Ron,4
432,George,Hermione,20
433,Draco,Ron,23
434,Harry,Riddle,7
435,Fred,Lupin,10
436,Mad-Eye,Molly,2
437,Ginny,James,1
438,James,Lupin,26
439,Dumbledore,Kingsley,18
440,Mad-Eye,Ron,10
441,Dedalus,Frank,4
442,Alice,Frank,6
443,Alice,Harry,15
444,Alice,Neville,12
445,Alice,Emmeline,2
446,Emmeline,Lupin,4
447,Benjy,Lupin,6
448,Lupin,Neville,29
449,Benjy,Sturgis,3
450,Benjy,Elphias,1
451,Elphias,Sturgis,2
452,Elphias,Prewett,5
453,Fabian,Prewett,6
454,Aberforth,Fabian,4
455,Aberforth,Harry,3
456,Mad-Eye,Sirius,6
457,Mad-Eye,Wormtail,1
458,Benjy,Wormtail,3
459,Benjy,Gideon,5
460,Benjy,Harry,1
461,Gideon,Harry,7
462,Molly,second,5
463,Lupin,second,4
464,Arthur,Ron,14
465,one,one,11
466,Percy,Sirius,7
467,Black,two,9
468,Hedwig,Hedwig,15
469,Black,Hermione,1
470,Black,Hedwig,4
471,Sturgis,Weasley,2
472,Arthur,Mad-Eye,10
473,Arthur,Fudge,5
474,Mad-Eye,Sturgis,3
475,Fudge,Sturgis,1
476,Arthur,Sturgis,5
477,Aunt,Weasley,5
478,Petunia,Weasley,2
479,Harry,Lee,51
480,Lupin,Sturgis,5
481,Dumbledore,Sturgis,13
482,Fred,Lee,15
483,Lee,Ron,18
484,Ginny,Hedwig,2
485,Harry,Neville,747
486,Trevor,one,4
487,Neville,one,31
488,Ginny,Trevor,1
489,Ginny,Neville,104
490,Neville,Neville,82
491,Luna,Neville,59
492,Ginny,Luna,148
493,Neville,three,21
494,Hedwig,Luna,8
495,Luna,three,7
496,Harry,Luna,313
497,Ginny,one,32
498,Harry,Trevor,5
499,Neville,Trevor,3
500,Cho,Harry,386
501,Cho,Neville,16
502,Neville,Ron,156
503,Crookshanks,Hermione,5
504,Hermione,Neville,111
505,Crookshanks,Neville,5
506,Crookshanks,Pigwidgeon,4
507,Crookshanks,Ron,14
508,Harry,Slytherin,84
509,Ron,Slytherin,66
510,Malfoy,Pansy,28
511,Harry,Pansy,17
512,Ernie,Harry,50
513,Ernie,Hannah,18
514,Anthony,Hannah,2
515,Anthony,Padma,3
516,Hannah,Padma,3
517,Luna,Padma,2
518,Luna,Ron,91
519,Goyle,Ron,25
520,Goyle,Hedwig,2
521,Crookshanks,Hedwig,5
522,Goyle,Luna,1
523,Crookshanks,Luna,1
524,Cornelius,Luna,5
525,Sirius,Stubby,3
526,Harry,Stubby,7
527,Stubby,Stubby,1
528,Luna,Sirius,14
529,Crabbe,Harry,13
530,Crabbe,Draco,3
531,Crabbe,Malfoy,6
532,Draco,Malfoy,29
533,Malfoy,Neville,40
534,Neville,second,7
535,Hermione,Malfoy,18
536,Neville,Sirius,4
537,Draco,Sirius,6
538,Draco,Lupin,4
539,Malfoy,Sirius,10
540,Lupin,Malfoy,3
541,Luna,Lupin,1
542,Luna,Malfoy,4
543,Hermione,Hogwarts,5
544,Hermione,Luna,26
545,Luna,Pigwidgeon,5
546,Ginny,Hagrid,2
547,Draco,Hagrid,6
548,Draco,Pansy,6
549,Pansy,second,8
550,Hermione,second,8
551,Lavender,Neville,16
552,Lavender,second,6
553,Neville,Parvati,12
554,Lavender,Parvati,49
555,Hagrid,Hermione,113
556,Dumbledore,Lavender,3
557,Lavender,Ron,10
558,Alice,Dumbledore,2
559,Alice,Umbridge,2
560,Harry,Umbridge,1169
561,Alice,Fudge,1
562,Ron,Umbridge,219
563,Fudge,Umbridge,55
564,Fudge,Ron,17
565,Hogwarts,Slytherin,3
566,Slytherin,second,2
567,Slytherin,three,5
568,McGonagall,Neville,19
569,Euan,Harry,21
570,McGonagall,Ron,75
571,Dumbledore,Hagrid,58
572,Ron,Sorting,4
573,Draco,Slytherin,12
574,Creevey,Ron,5
575,Creevey,Dennis,1
576,Colin,Creevey,5
577,Colin,Dennis,3
578,Dennis,Ron,2
579,Colin,Ron,2
580,Dennis,Harry,1
581,Umbridge,two,57
582,Dumbledore,Umbridge,179
583,Hermione,Umbridge,151
584,Umbridge,Umbridge,74
585,McGonagall,Umbridge,234
586,Dumbledore,McGonagall,90
587,Harry,Parvati,61
588,Lavender,Umbridge,3
589,Hogwarts,Umbridge,23
590,Cho,Cho,18
591,Cho,Ernie,5
592,Ernie,Umbridge,6
593,Ernie,one,5
594,Umbridge,one,63
595,Euan,Euan,3
596,George,Neville,3
597,Fred,Neville,3
598,Dean,Neville,35
599,Dean,Seamus,116
600,Neville,Seamus,54
601,Harry,Seamus,166
602,Dean,Harry,91
603,Seamus,Seamus,14
604,Dursley,Seamus,7
605,Dursley,Harry,6
606,Dumbledore,Seamus,19
607,Finnigan,Harry,1
608,Finnigan,Seamus,4
609,Cedric,Seamus,8
610,Ron,Seamus,76
611,Dumbledore,Neville,41
612,Angelina,Harry,148
613,Snape,Umbridge,96
614,George,Umbridge,32
615,Fred,Umbridge,47
616,George,Patricia,4
617,Kenneth,Patricia,6
618,Fred,Kenneth,4
