,source,target,value
412,Fred,Marcus,1
413,Harry,Terence,7
414,Marcus,Terence,1
415,Dean,Flint,4
416,Dean,Ron,14
417,Dean,Lee,3
418,Jordan,Lee,4
419,Jordan,McGonagall,6
420,Harry,Jordan,8
421,Flint,Seamus,2
422,Hagrid,Seamus,3
423,Marcus,one,4
424,Marcus,Ron,3
425,Marcus,Snape,2
426,Hagrid,Hermione,9
427,Fluffy,Hagrid,21
428,Fluffy,Harry,46
429,Greek,Harry,6
430,Dumbledore,Greek,5
431,Greek,Hagrid,1
432,Nicolas,three,4
433,Harry,Nicolas,26
434,Draco,Weasley,1
435,Draco,one,12
436,Charlie,Weasley,4
437,Hagrid,Weasley,3
438,Hogwarts,Weasley,5
439,Snape,Weasley,3
440,Goyle,Weasley,4
441,Malfoy,one,15
442,Vernon,second,3
443,Weasley,one,5
444,Fred,one,4
445,George,Percy,8
446,Fred,Percy,6
447,Dumbledore,Fred,4
448,McGonagall,Norris,1
449,Percy,Percy,3
450,Norris,Snape,3
451,Albus,one,5
452,Dumbledore,one,7
453,Snape,Wood,1
454,George,Snape,14
455,Slytherin,Snape,8
456,George,Slytherin,1
457,Neville,Wizard,1
458,Nicolas,two,3
459,Nicolas,Perenelle,9
460,Harry,Perenelle,6
461,Ron,Wood,7
462,Fred,Snape,3
463,George,Malfoy,2
464,Longbottom,Snape,4
465,Longbottom,Neville,10
466,Goyle,Neville,8
467,Longbottom,Weasley,6
468,Hogwarts,Snape,4
469,Severus,Snape,7
470,Hagrid,Severus,3
471,Peeves,Snape,4
472,Fluffy,Snape,28
473,Fluffy,Peeves,1
474,Fluffy,Fluffy,7
475,Fluffy,Hermione,5
476,Nicolas,second,5
477,Fluffy,Ron,17
478,Fluffy,McGonagall,8
479,Hedwig,one,3
480,Hermione,Hermione,4
481,Hermione,Malfoy,5
482,Charlie,Charlie,1
483,Charlie,Hermione,1
484,Malfoy,two,9
485,Madam,Malfoy,4
486,Harry,Madam,1
487,Madam,one,3
488,Charlie,Malfoy,11
489,Hagrid,Peeves,10
490,Malfoy,twenty,2
491,Slytherin,twenty,5
492,one,three,14
493,Draco,McGonagall,4
494,Draco,Longbottom,3
495,Granger,three,1
496,Longbottom,three,5
497,Granger,Harry,6
498,Slytherin,two,12
499,Slytherin,one,8
500,Dumbledore,Hermione,12
501,Dumbledore,Fluffy,7
502,Fang,Malfoy,6
503,Fang,two,2
504,Fang,Neville,8
505,Fang,Harry,1
506,Hermione,Ronan,5
507,Hagrid,Ronan,24
508,Ronan,Ronan,1
509,Harry,Ronan,25
510,Ronan,two,5
511,Ronan,second,2
512,Bane,Ronan,26
513,Bane,Harry,17
514,Bane,Hagrid,3
515,Bane,Hermione,1
516,Fang,Hagrid,3
517,Bane,two,1
518,Firenze,Hagrid,8
519,Firenze,Harry,60
520,Bane,Firenze,37
521,Firenze,Ronan,11
522,Bane,Bane,2
523,Firenze,Firenze,1
524,Firenze,Ron,3
525,Fluffy,one,2
526,Elfric,Harry,3
527,Elfric,Ron,4
528,Lee,Ron,8
529,Fluffy,Neville,5
530,Hogwarts,three,4
531,Fluffy,Hogwarts,3
532,Fluffy,three,8
533,Dumbledore,Firenze,4
534,Bane,Dumbledore,3
535,Hogwarts,two,1
536,Hagrid,Lee,1
537,Neville,Trevor,5
538,Trevor,one,3
539,Harry,Trevor,2
540,Norris,Peeves,4
541,Hedwig,Ron,7
542,Dumbledore,Hedwig,8
543,second,two,3
544,Fluffy,Hedwig,4
545,Draco,Dumbledore,2
546,Draco,Slytherin,1
547,Hogwarts,McGonagall,1
548,Dumbledore,Malfoy,1
549,Fred,Hagrid,5
550,Fred,Neville,1
551,Ginny,Ron,6
552,Ginny,Weasley,5
553,Dudley,Weasley,1
