,character,firstname
1261,Morfin Gaunt,Morfin
1262,Morgan,Morgan
1263,Gwendolyn Morgan,Gwendolyn
1264,Morgana / Morgan le Fay,Morgana
1265,Valmai Morgan,Valmai
1266,Morholt,Morholt
1267,Morrigan,Morrigan
1268,Mortlake,Mortlake
1269,Mosag,Mosag
1270,Hassan Mostafa,Hassan
1271,Old Mother Hubbard,Old
1272,three Muggle boys who attack Ariana,three
1273,Muggle postal carrier on the Ottery St Catchpole route,Muggle
1274,Muggle postal carrier on the Privet Drive route,Muggle
1275,Muggle Prime Minister,Muggle
1276,three Muggle taxi drivers,three
1277,Muggle tramp,Muggle
1278,Mulciber,Mulciber
1279,Burdock Muldoon,Burdock
1280,Mullet,Mullet
1281,Zacharias Mumps,Zacharias
1282,Eric Munch,Eric
1283,Mundungus Fletcher,Mundungus
1284,Mungo Bonham,Mungo
1285,Harfang Munter,Harfang
1286,Murcus,Murcus
1287,Auntie Muriel,Auntie
1288,Eunice Murray,Eunice
1289,Musidora Barkwith,Musidora
1290,Mustafa Kama,Mustafa
1291,Mylor Sylvanus,Mylor
1292,Myron Otherhaus,Myron
1293,Myron Wagtail,Myron
1294,Myrtle Warren,Myrtle
1295,Moaning Myrtle,Moaning
1296,Nagel,Nagel
1297,Nagini,Nagini
1298,Nagnok,Nagnok
1299,Narcissa Malfoy,Narcissa
1300,Narinder Singh,Narinder
1301,Natalie McDonald,Natalie
1302,Niko Nenad,Niko
1303,Nerida Vulchanova,Nerida
1304,Neville's Grandad,Neville's
1305,Neville Longbottom,Neville
1306,Newt Scamander,Newt
1307,Newt Scamander's mother,Newt
1308,Ngapo Ponika,Ngapo
1309,Nearly-Headless Nick,Nearly-Headless
1310,Nicholas Malfoy,Nicholas
1311,Nicolas Flamel,Nicolas
1312,Phineas Nigellus Black,Phineas
1313,Nikola Vassileva,Nikola
1314,Nobby Leach,Nobby
1315,Norbert/Norberta,Norbert/Norberta
1316,Noriko Sato,Noriko
1317,Norris,Norris
1318,Norvel Twonk,Norvel
1319,Nott,Nott
1320,Cantankerus Nott,Cantankerus
1321,Nott family,Nott
1322,Theodore Nott,Theodore
1323,Günther the Violent,Günther
1324,Nugent Potts,Nugent
1325,Nymphadora Tonks,Nymphadora
1326,Idris Oakby,Idris
1327,Oakden Hobday,Oakden
1328,Otto Obermeier,Otto
1329,Oblansk ,Oblansk
1330,Octavius Pepper,Octavius
1331,Winkus Oddpick,Winkus
1332,Oddvar Spillum,Oddvar
1333,Odo the Hero,Odo
1334,Ogden,Ogden
1335,Bob Ogden,Bob
1336,Tiberius Ogden,Tiberius
1337,Ogg,Ogg
1338,Dunbar Oglethorpe,Dunbar
1339,Mercy Ojukwu,Mercy
1340,Aliko Okoye,Aliko
1341,Olaf,Olaf
1342,Olive Hornby,Olive
1343,Olive Hornby's brother,Olive
1344,Oliver Rivers,Oliver
1345,Oliver Wood,Oliver
1346,Oliver Wood's parents,Oliver
1347,Ollivander family,Ollivander
1348,Garrick Ollivander,Garrick
1349,Geraint Ollivander,Geraint
1350,Gerbold Octavius Ollivander,Gerbold
1351,Gervaise Ollivander,Gervaise
1352,Olympe Maxime,Olympe
1353,through the Omnioculars,through
1354,Oona,Oona
1355,Orabella Nuttley,Orabella
1356,Orford Umbridge,Orford
1357,Orion Black,Orion
1358,Orla Quirke,Orla
1359,Orsino Thruston,Orsino
1360,Ortiz O'Flaherty,Ortiz
1361,Unctuous Osbert,Unctuous
1362,Oswald Beamish,Oswald
1363,Myron Otherhaus,Myron
1364,Otmar Frick,Otmar
1365,Ottaline Gambol,Ottaline
1366,Otto Bagman,Otto
1367,Owen Cauldwell,Owen
1368,Pandora Lovegood,Pandora
1369,Panju Weasley,Panju
1370,Paracelsus,Paracelsus
1371,Lenelle Paraison,Lenelle
1372,parents of the two young witches on toy broomsticks,parents
1373,Parkin family,Parkin
1374,Parkinson family,Parkinson
1375,Pansy Parkinson,Pansy
1376,Perseus Parkinson,Perseus
1377,Walter Parkin,Walter
1378,and Patil,and
1379,Padma Patil,Padma
1380,Parvati Patil,Parvati
1381,Patricia Stimpson,Patricia
1382,Patrick,Patrick
1383,Sir Patrick Delaney-Podmore,Sir
1384,patrons at the Hanged Man,patrons
1385,Randolph Pauncefoot,Randolph
1386,Paws,Paws
1387,Payne,Payne
1388,Jimmy Peakes,Jimmy
1389,Abraham Peasegood,Abraham
1390,Arnie Peasegood,Arnie
1391,Angelus Peel,Angelus
1392,Peeves,Peeves
1393,Penelope Clearwater,Penelope
1394,Daisy Pennifold,Daisy
1395,Miss Pennyfeather,Miss
1396,Phoebus Penrose,Phoebus
1397,Percival Dumbledore,Percival
1398,Percival Graves,Percival
1399,Percy Weasley,Percy
1400,Perenelle Flamel,Perenelle
1401,Perkins,Perkins
1402,Perkins ,Perkins
1403,Sally-Anne Perks,Sally-Anne
1404,Perpetua Fancourt,Perpetua
1405,Petrova Porskoff,Petrova
1406,Peter Pettigrew's mother,Peter
1407,Peter Pettigrew,Peter
1408,Petunia Dursley,Petunia
1409,Antioch Peverell,Antioch
1410,Peverell family,Peverell
1411,Iolanthe Peverell,Iolanthe
1412,Thorsten Pfeffer,Thorsten
1413,Philbert Deverill,Philbert
1414,Phineas Black,Phineas
1415,Phineas Fletcher,Phineas
1416,Phineas Nigellus Black,Phineas
1417,photographer for the Daily Prophet,photographer
1418,Phyllida Spore,Phyllida
1419,Pickett,Pickett
1420,Lucas Picquery,Lucas
1421,Pierre Bonaccord,Pierre
1422,Piers Polkiss,Piers
1423,Pigwidgeon,Pigwidgeon
1424,Justus Pilliwickle,Justus
1425,Bernie Pillsworth,Bernie
1426,Irma Pince,Irma
1427,Carlotta Pinkstone,Carlotta
1428,Pinky,Pinky
1429,Dagbert Pips,Dagbert
1430,Pius Thicknesse,Pius
1431,platform guard,platform
1432,Yardley Platt,Yardley
1433,Josiah Plunkett,Josiah
1434,Mirabella Plunkett,Mirabella
1435,Samuel Plunkett,Samuel
1436,Gulliver Pokeby,Gulliver
1437,Royden Poke,Royden
1438,Poliakoff,Poliakoff
1439,Polkiss,Polkiss
1440,Pollux Black,Pollux
1441,Polly Chapman,Polly
1442,Pomona Sprout,Pomona
1443,Ngapo Ponika,Ngapo
1444,Ivan Popa,Ivan
1445,Poppy,Poppy
1446,Poppy Pomfrey,Poppy
1447,Quong Po,Quong
1448,Tina Goldstein,Tina
1449,Porteus Knatchbull,Porteus
1450,Portkey Tout,Portkey
1451,Portly ghost who was almost eating,Portly
1452,"Martha, mother of James Steward","Martha,"
1453,Abraham Potter,Abraham
1454,Albus Potter,Albus
1455,Charlus Potter,Charlus
1456,Potter family,Potter
1457,Fleamont Potter,Fleamont
1458,Harry Potter,Harry
1459,"Henry ""Harry"" Potter",Henry
1460,James Potter,James
1461,James Sirius Potter,James
1462,Lily Luna Potter,Lily
1463,Lily Potter,Lily
1464,Potter nee Fleamont,Potter
1465,Nugent Potts,Nugent
1466,Ernie Prang,Ernie
1467,Prendergast,Prendergast
1468,Prentice,Prentice
1469,Fabian Prewett,Fabian
1470,Prewett family,Prewett
1471,Gideon Prewett,Gideon
1472,Madam Primpernelle,Madam
1473,Primrose Jorkins,Primrose
1474,Pringle,Pringle
1475,Priscilla Dupont,Priscilla
1476,Graham Pritchard,Graham
1477,D.J. Prod,D.J.
1478,Prod,Prod
1479,Prod family,Prod
1480,Demetrius J. Prod,Demetrius
1481,Elsie Prod,Elsie
1482,Professor Binns,Professor
1483,Helbert Spleen,Helbert
1484,Professor Mordicus Egg,Professor
1485,Quirinus Quirrell,Quirinus
1486,Professor Saul Croaker,Professor
1487,Professor Sinistra,Professor
1488,Professor Tofty,Professor
1489,Professor Vector,Professor
1490,Wilhelmina Grubbly-Plank,Wilhelmina
1491,Proudfoot,Proudfoot
1492,Prudence,Prudence
1493,Ptolemy,Ptolemy
1494,Adrian Pucey,Adrian
1495,Doris Purkiss,Doris
1496,Augustus Pye,Augustus
1497,Quintia Qarase,Quintia
1498,Samuel G. Quahog,Samuel
1499,Queen Elizabeth I,Queen
1500,Queenie Goldstein,Queenie
1501,Queenie Greengrass,Queenie
1502,Queen Maeve,Queen
1503,Queen Victoria,Queen
1504,Quentin Kowalski,Quentin
1505,Quentin Trimble,Quentin
1506,The Quibbler's Ministry insider source,The
1507,Quigley,Quigley
1508,Finbar Quigley,Finbar
1509,Hambledon Quince,Hambledon
1510,Quintia McQuoid,Quintia
1511,Quintius Umfraville,Quintius
1512,Quintus Harcourt,Quintus
1513,Ballyfumble Stranger,Ballyfumble
1514,Orla Quirke,Orla
1515,Quirinus Quirrell,Quirinus
1516,Quong Po,Quong
1517,Rabastan Lestrange,Rabastan
1518,Modesty Rabnott,Modesty
1519,Urquhart Rackharrow,Urquhart
1520,Raczidian,Raczidian
1521,Mnemone Radford,Mnemone
1522,Radolphus Lestrange,Radolphus
1523,Radolphus Pittiman,Radolphus
1524,Radulf,Radulf
1525,Rafael Santos,Rafael
1526,Ragmar Dorkins,Ragmar
1527,Ragnok the Pigeon-Toed,Ragnok
1528,Ragnuk the First,Ragnuk
1529,Ralston Potter,Ralston
1530,Rancorous Carpe,Rancorous
1531,Randolph Keitch,Randolph
1532,Randolph Pauncefoot,Randolph
1533,Randolph Spudmore,Randolph
1534,Rapier,Rapier
1535,Emily Rappaport,Emily
1536,Xavier Rastrick,Xavier
1537,Raul Almeida,Raul
