,letter,character
287,B,Burdock Muldoon
288,B,Caractacus Burke
289,B,Burke family
290,C,Cadmus Peverell
291,C,Cadwallader
292,C,Calchas
293,C,Calderon-Boot family
294,C,Callidora Black
295,C,Angus Campbell
296,C,Lennox Campbell
297,C,Cantankerus Nott
298,C,S. Capper
299,C,Caractacus Burke
300,C,Caradoc Dearborn
301,C,O.W.L. Care of Magical Creatures Examiner
302,C,Carlos Lopez
303,C,Carlotta Pinkstone
304,C,Eddie Carmichael
305,C,Rancorous Carpe
306,C,Carrow
307,C,Alecto Carrow
308,C,Amycus Carrow
309,C,Carrow family
310,C,Caspar Crouch
311,C,Cassandra Trelawney
312,C,Cassandra Vablatsky
313,C,Cassiopeia Black
314,C,Catriona McCormack
315,C,Cattermole family
316,C,Reginald Cattermole
317,C,Catullus Spangle
318,C,Cecilia
319,C,Cecily
320,C,Cedrella Black Weasley
321,C,Cedric Diggory
322,C,Celestina Warbeck
323,C,Chadwick Boot
324,C,Chambers
325,C,Cho Chang
326,C,Polly Chapman
327,C,Charis Black
328,C,Charity Burbage
329,C,Charity Wilkinson
330,C,Charlie Baverstock
331,C,Charlie Weasley
332,C,Charlus Potter
333,C,Chastity Barebone
334,C,Chauncey Oldridge
335,C,Glenda Chittock
336,C,Herbert Chorley
337,C,The Chosen One
338,C,Agatha Chubb
339,C,Winston Churchill
340,C,Ciceron Harkiss
341,C,Circe
342,C,Elfrida Clagg
343,C,Clairvius Hyppolite
344,C,Clarisse Tremblay
345,C,Ptolemy
346,C,Penelope Clearwater
347,C,Cliodna
348,C,Carlos Clodoaldo
349,C,Edgar Cloggs
350,C,João Coelho
351,C,Mrs. Cole
352,C,Colin Creevey
353,C,Colonel Fubster
354,C,Magenta Comstock
355,C,Connolly
356,C,cook at the Riddle House
357,C,Buckley Cooper
358,C,Howland Coopey
359,C,Ritchie Coote
360,C,Corban Yaxley
361,C,Cordelia Misericordia
362,C,Cormac O’Brien
363,C,Cormack McLeod
364,C,Cormac McLaggen
365,C,Cornelius Agrippa
366,C,Cornelius Fudge
367,C,Michael Corner
368,C,Corvinus Gaunt
369,C,Corvus Lestrange Jr.
370,C,Corvus Lestrange Sr.
371,C,Gregory Cotton
372,C,Count Vlad Drakul
373,C,"second cousin, the accountant"
374,C,Cousin Barny
375,C,Crabbe Sr.
376,C,Crabbe family
377,C,Ellen Cracknell
378,C,Elfrida Cragg
379,C,Craig Bowker Jr.
380,C,Credence Barebone
381,C,Creevey family
382,C,Mr. Creevey
383,C,Mrs. Cresswell
384,C,Dirk Cresswell
385,C,Cresswell family
386,C,Cresswell sons
387,C,Venusia Crickerly
388,C,Delfina Crimp
389,C,Professor Saul Croaker
390,C,Doris Crockford
391,C,Crispin Cronk
392,C,Glinda Crook
393,C,Crookshanks
394,C,Mrs. Crouch
395,C,Barty Crouch Jr.
396,C,Barty Crouch Sr.
397,C,Crouch family
398,C,Maximillian Crowdy
399,C,Barnabas Cuffe
400,C,curly-haired Beauxbatons student
401,C,Cuthbert Mockridge
402,C,Cyclops
403,C,Cygnus Black
404,C,Cygnus Black (1889)
405,C,Cyprian Youdle
406,D,Dagbert Pips
407,D,Hector Dagworth-Granger
408,D,Dangerous Dai Llewellyn
409,D,Daisy Dodderidge
410,D,Daisy Hookum
411,D,Daisy Pennifold
412,D,Damocles Belby
413,D,Damocles Rowle
414,D,Daphne Greengrass
415,D,Darius Smackhammer
416,D,Dark Lord
417,D,Darren Floyd
418,D,Darren O'Hare
419,D,Davey Gudgeon
420,D,Roger Davies
421,D,John Dawlish
422,D,Dean Thomas
423,D,Dean Thomas' wizard father
424,D,Caradoc Dearborn
425,D,Death
426,D,Death Eater with the baby head
427,D,Dedalus Diggle
428,D,Apolline Delacour
429,D,Delacour family
430,D,Fleur Delacour
431,D,Sir Patrick Delaney-Podmore
432,D,Lisette de Lapin
433,D,Delfina Crimp
434,D,Delphi
435,D,Demelza Robins
436,D,Demetrius J. Prod
437,D,Nearly-Headless Nick
438,D,Dempster Wiggleswade
439,D,Dennis
440,D,Dennis Bishop
441,D,Dennis Creevey
442,D,Dennis Moon
443,D,Bertrand de Pensées-Profondes
444,D,Derek
445,D,Derrick
446,D,Dilys Derwent
447,D,Derwent Shimpling
448,D,Barnabas Deverill
449,D,Philbert Deverill
450,D,Devlin Whitehorn
451,D,Dexter Fortescue
452,D,Diadema (Goshawk?)
453,D,Fernando Diaz
454,D,Mrs. Diggory
455,D,Amos Diggory
456,D,Cedric Diggory
457,D,Delphini Diggory
458,D,Eldritch Diggory
459,D,Diggory family
460,D,Dimitrov
461,D,Harold Dingle
462,D,Dirk Cresswell
463,D,Dishwasher at the Leaky Cauldron
464,D,Emma Dobbs
465,D,Dobby
466,D,Dodgy Dirk
467,D,Elphias Doge
468,D,Antonin Dolohov
469,D,Dolores Umbridge
470,D,Dolores Umbridge's brother
471,D,Dominique Weasley
472,D,Donaghan Tremlett
473,D,Dorcas Meadowes
474,D,Dorcus Twelvetrees
475,D,Dorcas Wellbeloved
476,D,Dorea Black Potter
477,D,Doris Crockford
478,D,Doris Purkiss
479,D,Ragmar Dorkins
480,D,J. Dorny
481,D,Dot
482,D,Dougal
483,D,Dougal McBride
484,D,Dougal McGregor
485,D,Distractible Douglas
486,D,Draco Malfoy
487,D,Dimitar Draganov
488,D,Dragomir Despard
489,D,Dragomir Gorgovitch
490,D,Count Vlad Drakul
491,D,Filibuster
492,D,Dr. Ubbly
493,D,Druella Rosier
494,D,Dugald McPhail
495,D,Irma Dugard
496,D,Matilda Dukelow
497,D,Aberforth Dumbledore
498,D,Albus Dumbledore
499,D,Ariana Dumbledore
500,D,Aurelius Dumbledore
501,D,Dumbledore family
502,D,Kendra Dumbledore
503,D,Percival Dumbledore
504,D,dumpy wizard with a large black moustache
505,D,Dunbar Oglethorpe
506,D,B. Dunstan
507,D,Priscilla Dupont
508,D,Dudley Dursley
509,D,Dursley family
510,D,Aunt Marge Dursley
511,D,Petunia Dursley
512,D,Vernon Dursley
513,D,Dylan Marwood
514,D,Dymphna Furmage
515,D,Dzou Yen
516,E,Eargit the Ugly
517,E,Earl of Paunchley
518,E,Lorcan d'Eath
519,E,Heinrich Eberstadt
520,E,Eddie Carmichael
521,E,Edgar Bones
522,E,Edgar Cloggs
523,E,Edgar Stroulger
524,E,Marietta Edgecombe
525,E,Edmund Gaddlegate
526,E,Teddy Lupin
527,E,Ted Tonks
528,E,Egbert the Egregious
529,E,Eglantine Puffett
