,letter,character
2006,Y,Yusuf Kama
2007,Y,Yvonne
2008,Z,Blaise Zabini
2009,Z,Zacharias Smith
2010,Z,Zacharias Smith's father
2011,Z,Zacharias Mumps
2012,Z,Rawya Zaghloul
2013,Z,Zamira Gulch
2014,Z,Ladislaw Zamojski
2015,Z,Georgi Zdravko
2016,Z,Zograf
2017,Z,Zonko
2018,Z,Valentina Vázquez
2019,Z,Zygmunt Budge
